song_id	song_name	display_artist	artist_id	spotify_id
17831	What A Price To Pay	Michael Damian	310744	null
17837	Your Love	Keith Sweat	305658	0EtISCRxWQKvVTtpmtJnNd
17838	Love Gets Rough	Troy Newman	430499	null
17848	(Everything I Do) I Do It For You (From "Robin Hood")	Bryan Adams	null	6eBK3edMW7bEzecF1eCezc
17861	Shake It (Like A White Girl)	Jesse Jaymes	304530	null
17876	There She Goes	The La s	418484	null
17878	Wanna Dance	Yasmin	431594	1jVPWuOofbfhHGoVGFeY7x
17882	I Don t Wanna See You	Michael Morales	310827	null
17884	The Truth	Tami Show	277497	null
17887	Turn It Up	Oaktown s 3.5.7	null	null
17889	Get Serious	Cut  N  Move	299862	1CpZpiCm5T2pCUMUnR7utO
17897	If I Say	Kingofthehill	305932	null
17901	Till Somebody Loves You	Henry Lee Summer	303446	null
17903	Gett Off	Prince And The N.P.G.	351039	null
17905	I m Not Your Puppet	Hi-C	303490	51HnXIFI3P3t9xpW1UjD8h
17923	The Devil Came Up To Michigan	K.M.C. KRU	276639	null
17924	Everyotherday	Or-N-More (Featuring Father M.C.)	null	null
17928	Save Me	Lisa Fischer	307480	5bhHxCq03CHjc5KT6qwj4K
17929	Why Can t You Come Home	Ex-Girlfriend	301984	null
17933	Ain t No Future In Yo  Fronting	M.C. Breed	null	null
17938	If You re Serious	Riff	365063	null
17942	Don t Cry	Guns N  Roses	303248	7yi70YT2UBu5FpNLUUpkc6
17945	All About You	Pretty In Pink	349998	null
17947	Cream	Prince And The N.P.G.	351039	null
17948	That s What Love Is For	Amy Grant	278956	367dmPOxuMP8FsrZHenNnq
17964	Ring My Bell	D.J. Jazzy Jeff	null	5l7XmwM537PxROfhKfpBjc
17970	Can t Truss It	Public Enemy	354718	3HhKJ5cDTvZmpzpdKrhuyK
17979	Housecall	Shabba Ranks/Maxi Priest	null	4WCEoUNKzWz3nJYwy8Rua2
17993	I Wanna Be Your Girl	Icy Blu	276487	null
17999	2 Legit 2 Quit	M.C. Hammer	276852	null
18010	In My Dreams	The Party	1540606	null
18011	Love Me All Up	Stacy Earl	280277	null
18016	I Can t Make You Love Me	Bonnie Raitt	296425	69uJi5QsBtqlYkGURTBli8
18033	Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.	null	null
18040	Within My Heart	Voyce	431100	1yJXPIBKWICGZOP62KKOTe
18049	Diamonds And Pearls	Prince And The N.P.G.	351039	null
18052	All Through The Night	Tone-Loc	430176	null
18055	Insatiable	Prince And The N.P.G.	351039	null
18056	Right Down To It	Damian Dame	300118	null
18060	Hearts Don t Think (They Feel)	Natural Selection	312057	null
18073	I ll Take You There	BeBe	280813	2XbUjG48KR62scMGiOQ6CL
18074	Hold On (Tighter To Love)	Clubland	299463	25tq1GAZcbFEfJLex2mZSb
18077	A Deeper Love/Pride (In The Name Of Love)	Clivilles	299447	6RS2ZHPnZZ8SFCHsgOHDQC
18078	There s No Other Way	Blur	292472	null
18082	Blinded By Love	Rhythm Syndicate	364946	null
18083	Oochie Coochie	M.C. Brains	null	5Y9QaKzkqYs9IogfsnAxd7
18085	Butt Naked	Charm	299014	null
18098	I Can t Dance	Genesis	1496517	5kzJHK44CF0p6jBBVNSZlp
18101	You Are The One	Chris Cuevas	299184	null
18110	I Need Money	Marky Mark	309618	null
18113	How I Could Just Kill A Man/The Phuncky Feel One	Cypress Hill	299883	null
18118	Romeo	Stacy Earl (Featuring The Wild Pair)	null	null
18132	Peace Of Mind (Love Goes On)	One 2 One	313582	null
18143	Human Touch/Better Days	Bruce Springsteen	298448	null
18147	IOU	Arthur Baker Featuring Nikeeta	279993	null
18148	Doo Doo Brown	2 Hyped Brothers	null	null
18149	It s Not A Love Thing	Geoffrey Williams	1519284	null
18154	Money Don t Matter 2 Night	Prince And The N.P.G.	351039	null
18155	3-2-1 Pump	Redhead Kingpin	null	null
18164	Come	Jodeci	304778	5xE7sFTlv2yrG9mmhDSpdq
18173	Why Me Baby?	Keith Sweat	305658	1VuMn6mB0xEzgWq48EmMZM
18197	Take My Advice	Kym Sims	306237	5KhAzdjCDy6MZai1P0RJAe
18200	Never Satisfied	Good 2 Go	303006	null
18205	Losing You	Mocca Soul	311610	null
18207	This Is The Way We Roll	M.C. Hammer	276852	25EqYmVGCXMxY6kJhnu9Af
18209	Set Me Free	Clubland Featuring Zemya Hamilton	299463	0k6QUwAYwWgD3owqzNT10I
18212	Victim Of The Ghetto	The College Boyz	299535	28hD4dKpGxU2EsU0KM32NZ
18213	I ll Be There	Mariah Carey	309388	1Q9FyWHhYmyed0wbNBIKHM
18231	Whatever It Takes (To Make You Stay)	Troop	430486	null
18236	Please Don t Go	K.W.S.	276643	null
18237	Slowly	Stacy Earl	280277	null
18248	Brainstorming	M.C. Brains	null	null
18253	The Way I Feel	Tag	277531	5d1dglMOQpQQoYjuq4DHoB
18254	So What cha Want	Beastie Boys	280828	null
18267	Sexy MF	Prince And The N.P.G.	351039	null
18277	The Hitman	AB Logic	275302	1KwVr66tFOfuMypJZtMwqA
18294	Get With U	Lidell Townsell	307164	null
18297	Would I Lie To You?	Charles	null	21MLFi0ISlqDBp7DQHPi7p
18302	1-4-All-4-1	East Coast Family	null	null
18307	Sad New Day	Me Phi Me	310302	null
18320	I Wanna Make Love To You (From "Innocent Blood")	Rhythm Syndicate	364946	null
18323	It s My Cadillac (Got That Bass)	MC Nas-D	276857	null
18334	The Message	Sofia Shinas	279708	null
18338	Sesame s Treet	Smart E s	279616	null
18339	Could ve Been Me	Billy Ray Cyrus	285041	null
18340	I m Overjoyed	Nona Gaye	312408	null
18374	Really Into You	Around The Way	279945	null
18378	It s Alright (From "South Central")	Classic Example	299384	null
18381	I Got A Thang 4 Ya!	Lo-Key?	null	4OXAYBy41owXhbOoi932y0
18383	Here We Go Again!	Portrait	1531277	5rIr1MOh4cWwpdln1QqTPS
18388	Ain t Nobody Like You	Miki Howard	311247	4ceQKHtNjYa3f3zwEDYY7q
