"","song_id","song_name","artist","lyrics","num_apps","vocab","first_app"
"1554",19364,"Macarena (Bayside Boys Mix)","Los Del Rio","Dale a tu cuerpo alegria Macarena
Que tu cuerpo es pa' darle alegria y cosas buenas
Dale a tu cuerpo alegria, Macarena
Hey Macarena

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino,
Que en la jura de bandera el muchacho
Se metio con dos amigos

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino,
Y en la jura de bandera el muchacho
Se metio con dos amigos

Dale a tu cuerpo alegria Macarena
Que tu cuerpo es pa' darle alegria y cosas buenas
Dale a tu cuerpo alegria, Macarena
Hey Macarena

Macarena, Macarena, Macarena
Que le gustan los veranos de Marbella
Macarena, Macarena, Macarena
Que le gusta la movida guerrillera

Macarena sue<U+00F1>a con El Corte Ingles
Que se compra los modelos mas modernos
Le gustaria vivir en Nueva York
Y ligar un novio nuevo

Macarena sue<U+00F1>a con El Corte Ingles
Que se compra los modelos mas modernos
Le gustaria vivir en Nueva York
Y ligar un novio nuevo",60,53,"1995-09-02"
"4901",24251,"Need You Now","Lady Antebellum","Picture perfect memories,
Scattered all around the floor
Reaching for the phone 'cause,
I can't fight it anymore
And I wonder if I ever cross your mind
For me it happens all the time

It's a quarter after one,
I'm all alone and I need you now
Said I wouldn't call
but I lost all control and I need you now
And I don't know how I can do without,
I just need you now

Another shot of whiskey,
can't stop looking at the door
Wishing you'd come sweeping
in the way you did before
And I wonder if I ever cross your mind
For me it happens all the time

It's a quarter after one,
I'm a little drunk,
And I need you now
Said I wouldn't call
but I lost all control and I need you now
And I don't know how I can do without,
I just need you now

oh ohhh...

Guess I'd rather hurt than feel nothing at all
It's a quarter after one,
I'm all alone and I need you now
And I said I wouldn't call
but I'm a little drunk and I need you now
And I don't know how I can do without,
I just need you now
I just need you now
Oh baby I need you now...",60,78,"2009-08-29"
"5629",25390,"Somebody That I Used To Know","Gotye Featuring Kimbra","Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me
But felt so lonely in your company
But that was love and it's an ache I still remember

You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well you said that we would still be friends
But I'll admit that I was glad that it was over

But you didn't have to cut me off
Make out like it never happened
And that we were nothing
And I don't even need your love
But you treat me like a stranger
And that feels so rough

No, you didn't have to stoop so low
Have your friends collect your records
And then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Now you're just somebody that I used to know
Now you're just somebody that I used to know

Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done

But I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up
On somebody that you used to know...

But you didn't have to cut me off
Make out like it never happened
And that we were nothing
And I don't even need your love
But you treat me like a stranger
And that feels so rough

No, you didn't have to stoop so low
Have your friends collect your records
And then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Somebody...
I used to know
Somebody...
(Now you're just somebody that I used to know)
Somebody...
I used to know
Somebody...
(Now you're just somebody that I used to know)

I used to know
That I used to know
I used to know
Somebody",59,113,"2012-01-21"
"5967",26001,"All Of Me","John Legend","What would I do without your smart mouth
Drawing me in and you kicking me out
Got my head spinning, no kidding
I can't pin you down
What's going on in that beautiful mind
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you oh

How many times do I have to tell you
Even when you're crying you're beautiful too
The world is beating you down
I'm around through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing
It's ringing, in my head for you

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you
Give me all of you

Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you oh",59,104,"2013-09-21"
"4016",22931,"How To Save A Life","The Fray","Step one you say we need to talk
He walks you say sit down it's just a talk
He smiles politely back at you
You stare politely right on through
Some sort of window to your right
As she goes left and you stay right
Between the lines of fear and blame
And you begin to wonder why you came

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Let him know that you know best
Cause after all you do know best
Try to slip past his defense
Without granting innocence
Lay down a list of what is wrong
The things you've told him all along
And pray to God he hears you
And pray to God he hears you

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

As he begins to raise his voice
You lower yours and grant him one last choice
Drive until you lose the road
Or break with the ones you've followed
He will do one of two things 
He will admit to everything
Or he'll say he's just not the same
And you'll begin to wonder why you came

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

How to save a life (2x)

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

How to save a life",58,118,"2006-04-15"
"2518",20813,"Higher","Creed","When dreaming I'm guided through another world
Time and time again
At sunrise I fight to stay asleep
'cause I don't want to leave the comfort of this place
'cause there's a hunger, a longing to escape
From the life I live when I'm awake

So let's go there
Let's make our escape
Come on, let's go there
Let's ask can we stay

Can you take me higher?
To a place where blind men see
Can you take me higher?
To a place with golden streets

Although I would like our world to change
It helps me to appreciate
Those nights and those dreams
But, my friend, I'd sacrifice all those nights
If I could make the earth and my dreams the same
The only difference is
To let love replace all our hate

So let's go there
Let's make our escape
C'mon let's go there
Let's ask can we stay

Can you take me higher?
To a place where blind men see
Can you take me higher?
To a place with golden streets

So let's go there
Let's go there
C'mon let's go there
Let's ask can we stay

Up high I feel like I'm alive for the very first time
Still up high I'm strong enough 
To take these dreams and make them mine (x2)

Can you take me higher?
To a place where blind men see
Can you take me higher?
To a place with golden streets",57,99,"1999-09-11"
"4654",23882,"Use Somebody","Kings Of Leon","I've been roaming around
Always looking down at all I see
Painted faces, feel the places 
I can't reach

You know that I could use somebody
You know that I could use somebody

Someone like you, and all you know,
and how you speak
Countless lovers under cover of the street

You know that I could use somebody
You know that I could use somebody
Someone like you
Someone like you

Off in the night, while you live it up, 
I'm off to sleep
Waging wars to shake 
the poet and the beat
I hope it's gonna make you notice
What would you gonna make you notice

Someone like me
Someone like me
Someone like me, somebody

I'm ready now, I'm ready now
I'm ready now, I'm ready now
I'm ready now, I'm ready now
I'm ready now, I'm ready now

Someone like you, somebody
Someone like you, somebody
Someone like you, somebody

I've be roaming around
Always looking down at all I see",57,61,"2008-10-11"
"5532",25194,"Lights","Ellie Goulding","I had a way then losing it all on my own
I had a heart then but the Queen has been overthrown
And I'm not sleeping now the dark is too hard to beat
And I'm not keeping now the strength I need to push me

You show the lights that stop me turn to stone
You shine it when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone

'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine it when I'm alone

Home

Noises, I play within my head
Touch my own skin and hope that I'm still breathing
And I think back to when my brother and my sister slept
In an unlocked place the only time I feel safe

You show the lights that stop me turn to stone
You shine it when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone

'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine it when I'm alone

Home

Yeah, hee

Light, lights, lights, lights
Light, lights, lights, lights
Light, lights, lights, lights
Light, lights

You show the lights that stop me turn to stone
You shine it when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone

'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine it when I'm alone

Home, home
Light, lights, lights, lights",57,81,"2011-08-20"
"2635",20984,"The Way You Love Me","Faith Hill","If I could grant, you one wish
I wish you could see the way you kiss
Ooh, I love watching you baby
When you're driving me, ooh, crazy

chorus:
Ooh, I love the way you love the way you love me
There's no where else I'd rather be
Ooh, to feel the way I feel with your arms around me
I only wish that you could see the way you love me
Love me, ooh, the way you love me

It's not right, it's not fair
What you're missing over there
Someday I'll find a way to show you
Just how lucky I am to know you

(chorus)

You're the million reasons why there's
Love reflecting in my eyes

(chorus til fade)
",56,63,"2000-03-11"
"4859",24182,"I Gotta Feeling","The Black Eyed Peas","[Hook]
I got a feeling that tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

I got a feeling that tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

[Post-Hook]
Tonight's that night
Let's live it up
I got my money
Let's spend it up
Go out and smash it
Like, ""Oh my God!""
Jump out that sofa
Let's kick it
Off!

[Verse 1]
I know that we'll have a ball
If we get down, and go out, and just lose it all
I feel stressed out, I wanna let it go
Let's go way out, spaced out, and losing all control

[Refrain]
Fill up my cup
Mazel tov
Look at her dancing, just take it off!
Let's paint the town
We'll shut it down
Let's burn the roof

[Refrain 2]
And then we'll do it again
Let's do it, let's do it, let's do it, let's do it
And do it, and do it (let's live it up)
And do it, and do it, and do it, do it, do it
Let's do it, let's do it, let's do it

[Hook]
Cause I got a feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

[Post-Hook]
Tonight's that night, Hey!
Let's live it up (let's live it up)
I got my money, (My pay)
Let's spend it up (let's spend it up)
Go out and smash it  (Smash it)
Like, ""Oh my God!"" ( like, ""Oh my God!"")
Jump out that sofa, (Come on!)
Let's kick it off!

[Refrain 1]
Fill up my cup, (drank!)
Mazel tov (l'chaim!)
Look at her dancing (Move it, move it)
Just take it off!
Let's paint the town (Paint the town)
We'll shut it down  (Let's shut it down)
Let's burn the roof

[Refrain 2]
And then we'll do it again
Let's do it, let's do it, let's do it, let's do it
And do it, and do it (let's live it up)
And do it, and do it, and do it, do it, do it
Let's do it, let's do it, let's do it, do it, do it, do it

[Verse 2]
Here we come, here we go, we gotta rock (Rock rock rock rock rock)
Easy come, easy go, now we on top (Top top top top top)
Fill the shot, body rock, rock it don't stop (Stop stop stop stop stop)
Round and round, up and down, around the clock (Rock rock rock rock rock)

[Verse 3]
Monday, Tuesday, Wednesday and Thursday (do it!)
Friday, Saturday, Saturday to Sunday (do it!)
Weeekend get get get with us, you know what we say
Party every day, p-p-p-party every day

[Hook]
And I'm feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

[Outro]
(Woo-hoo!)",56,115,"2009-06-27"
"1539",19343,"Missing","Everything But The Girl","I step off the train
I'm walking down your street again
And past your door
But you don't live there anymore

It's years since you've been there
Now you've disappeared somewhere
Like outer space
You've found some better place

And I miss you
- Like the deserts miss the rain

Could you be dead?
You always were two steps ahead
Of everyone
We'd walk behind while you would run

I look up at your house
And I can almost hear you shout
Down to me
Where I always used to be

And I miss you -
Like the deserts miss the rain

Back on the train
I ask why did I come again
Can I confess
I've been hanging around your old address?

And the years have proved
To offer nothing since you moved
You're long gone
But I can't move on

And I miss you -
Like the deserts miss the rain

I step off the train
I'm walking down your street again
And past your door
I guess you don't live there anymore

It's years since you've been there
Now you've disappeared somewhere
Like outer space
You've found some better place

And I miss you -
Like the deserts miss the rain

And I miss you -
Like the deserts miss the rain (deserts miss the rain)",55,90,"1995-08-12"
"2456",20728,"Amazed","Lonestar","Everytime our eyes meet
This feeling inside me
Is almost more than I can take
Baby when you touch me
I can feel how much you love me
And it just blows me away
I've never been this close to anyone or anything
I can hear your thoughts
I can see your dreams

I don't know how you do what you do
I'm so in love with you, it just keeps getting better
I wanna spend the rest of my life with you by my side
Forever and ever
Every little thing that you do
Baby I'm amazed by you

The smell of your skin
The taste of your kiss
The way you whisper in the dark
Your hair all around me, baby you surround me
You touch every place in my heart
Oh, it feels like the first time everytime
I wanna spend the whole night in your eyes

I don't know how you do what you do
I'm so in love with you, it just keeps getting better
I wanna spend the rest of my life with you by my side
Forever and ever
Every little thing that you do
Baby I'm amazed by you

Every little thing that you do
I'm so in love with you
It just keeps getting better
I wanna spend the rest of my life with you by my side
Forever and ever
Every little thing that you do
Oh, every little thing that you do
Baby I'm amazed by you
",55,88,"1999-06-05"
"3310",21927,"Unwell","matchbox twenty","All day staring at the ceiling
Making friends with shadows on my wall
All night hearing voices telling me
That I should get some sleep
Because tomorrow might be good for something

Hold on
Feeling like I'm headed for a breakdown
And I don't know why

But I'm not crazy, I'm just a little unwell
I know right now you can't tell
But stay awhile and maybe then you'll see
A different side of me
I'm not crazy, I'm just a little impaired
I know right now you don't care
But soon enough you're gonna think of me
And how I used to be...me

I'm talking to myself in public
Dodging glances on the train
And I know, I know they've all been talking about me
I can hear them whisper
And it makes me think 
there must be something wrong with me
Out of all the hours thinking
Somehow I've lost my mind

But I'm not crazy, I'm just a little unwell
I know right now you can't tell
But stay awhile and maybe then you'll see
A different side of me
I'm not crazy, I'm just a little impaired
I know right now you don't care
But soon enough you're gonna think of me
And how I used to be

I've been talking in my sleep
Pretty soon they'll come to get me
Yeah, they're taking me away

But I'm not crazy, I'm just a little unwell
I know right now you can't tell
But stay awhile and maybe then you'll see
A different side of me
I'm not crazy, I'm just a little impaired
I know right now you don't care
But soon enough you're gonna think of me
And how I used to be

Yeah, how I used to be
How I used to be
Well, I'm just a little unwell
How I used to be
How I used to be
I'm just a little unwell",54,107,"2003-03-22"
