"","date","song_id","name","artist","year","lyrics","freq","vocab"
"97","2009-09-19",24272,"Haven't Met You Yet","Michael Buble",2009,"I'm not surprised
Not everything lasts
I've broken my heart so many times,
I stopped keeping track.
Talk myself in
I talk myself out
I get all worked up
Then I let myself down.

I tried so very hard not to lose it
I came up with a million excuses
I thought, I thought of every possibility

And I know someday that it'll all turn out
You'll make me work
So we can work to work it out
And I promise you kid that I give
So much more than I get
I just haven't met you yet

I might have to wait
I'll never give up
I guess it's half timing
And the other half's luck
Wherever you are
Whenever it's right
You'll come out of nowhere and into my life

And I know that we can be so amazing
And baby your love is gonna change me
And now I can see every possibility

And somehow I know that it'll all turn out
And you'll make me work
So we can work to work it out
And I promise you kid I give so much more
Than I get
I just haven't met you yet

They say ""all's fair""
In love and war
But I won't need to fight it
We'll get it right and
We'll be united

And I know that we can be so amazing
And being in your life is gonna change me
And now I can see every single possibility

And someday I know it'll all turn out
And I'll work to work it out
Promise you kid, I'll give more than I get
Than I get
Than I get
Than I get
Oh you know it'll all turn out
And you'll make me work
So we can work to work it out
And I promise you kid
To give so much more than I get
Yeah I just haven't met you yet

I just haven't met you yet
Oh promise you kid
To give so much more than I get

I said love love love love love love love .....
I just haven't met you yet
Love love love .....
I just haven't met you yet",44,114
"98","2012-01-21",25386,"I Won't Give Up","Jason Mraz",2012,"When I look into your eyes
It's like watching the night sky
Or a beautiful sunrise
There's so much they hold
And just like them old stars
I see that you've come so far
To be right where you are
How old is your soul?

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up

And when you're needing your space
To do some navigating
I'll be here patiently waiting
To see what you find

Cause even the stars, they burn
Some even fall to the earth
We got a lot to learn
God knows we're worth it
No I won't give up

I don't wanna be someone who walks away so easily
I'm here to stay and make the difference that I can make
Our differences they do a lot to teach us how to use
The tools and gifts we've got yeah we got a lot at stake
And in the end, you're still my friend
At least we didn't intend
For us to work we didn't break, we didn't burn
We had to learn how to bend without the world caving in
I had to learn what I've got, and what I'm not
And who I am

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up
I'm still looking up

I won't give up on us
God knows I'm tough, he knows
We got a lot to learn
God knows we're worth it

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up",44,123
"99","2012-04-07",25471,"Too Close","Alex Clare",2012,"You know I'm not one to break promises
I don't wanna hurt you but I need to breathe
At the end of it all, you're still my best friend
But there's something inside that I need to release
Which way is right, which way is wrong
How do I say that I need to move on?
You know we're heading separate ways

And it feels like I am just too close to love you
There's nothing I can really say
I can't lie no more, I can't hide no more
Got to be true to myself
And it feels like I am just too close to love you
So I'll be on my way

You've given me more that I can return
Yet there's oh so much that you deserve
There's nothing to say, nothing to do
I've nothing to give
I must leave without you
You know we're heading separate ways

And it feels like I am just too close to love you
There's nothing I can really say
I can't lie no more, I can't hide no more
Got to be true to myself
And it feels like I am just too close to love you
So I'll be on my way

So I'll be on my way

And it feels like I am just too close to love you
There's nothing that I can really say
I can't lie no more, I can't hide no more
Got to be true to myself
And it feels like I am just too close to love you
So I'll be on my way

So I'll be on my way
So I'll be on my way",44,80
"100","2013-07-20",25934,"Royals","Lorde",2013,"I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In the torn up town
No post code envy

But every song's like gold teeth, grey goose
Trippin' in the bathroom
Blood stains, ball gowns
Trashin' the hotel room
We don't care
We're driving cadillacs in our dreams

But everybody's like cristal, maybach
Diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care
We aren't caught up in your love affair

And we'll never be royals
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz

Let me be your ruler
You can call me queen bee
And baby I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy

My friends and I, we've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows
That we're fine with this
We didn't come from money

But every song's like gold teeth grey goose
Trippin' in the bathroom
Blood stains, ball gowns
Trashin' the hotel room
We don't care
We're driving cadillacs in our dreams

But everybody's like cristal, maybach
Diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care
We aren't caught up in your love affair

And we'll never be royals
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz

Let me be your ruler
You can call me queen bee
And baby I'll rule (I'll rule I'll rule I'll rule)
Let me live that fantasy

Ooh ooh oh
Ooh ooh oh
Ooh ooh oh
We're bigger than we ever dreamed
And I'm in love with being queen

Ooh ooh oh
Ooh ooh oh
Ooh ooh oh
Life is great without a care
We aren't caught up in your love affair

And we'll never be royals
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz

Let me be your ruler
You can call me queen bee
And baby I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy",44,125
"101","2014-07-12",26325,"Riptide","Vance Joy",2014,"I was scared of dentists and the dark
I was scared of pretty girls and starting conversations
Oh, all my friends are turning green
You're the magician's assistant in their dream

Oh, and they come unstuck

Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song
And I got a lump in my throat
'Cause you're gonna sing the words wrong

There's this movie that I think you'll like
This guy decides to quit his job and heads to New York City
This cowboy's running from himself
And she's been living on the highest shelf

Oh, and they come unstuck

Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song
And I got a lump in my throat
'Cause you're gonna sing the words wrong

I just wanna, I just wanna know
If you're gonna, if you're gonna stay
I just gotta, I just gotta know
I can't have it, I can't have it any other way
I swear she's destined for the screen
Closest thing to Michelle Pfeiffer that you've ever seen, oh

Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song
And I got a lump in my throat
'Cause you're gonna sing the words wrong

Oh lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song
And I got a lump in my throat
'Cause you're gonna sing the words wrong

Oh lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song
And I got a lump in my throat
'Cause you're gonna sing the words wrong
And I got a lump in my throat
'Cause you're gonna sing the words wrong",44,103
"102","1996-07-20",19643,"Change The World (From ""Phenomenon"")","Eric Clapton",1996,"If I could reach the stars, I'd pull one down for you
Shine it on my heart, so you could see the truth
That this love I have inside, is everything it seems
But for now I find, it's only in my dreams

That I can change the world
I would be the sunlight in your universe
You would think my love was really something good
Baby, if I could, change the world

If I could be king, even for a day
I'd take you as my queen, I'd have it no other way
And our love would rule, this kingdom we have made
Till then I'll be a fool, wishin' for the day

That I can change the world,
I would be the sunlight in your universe.
You would think my love was really something good,
Baby if I could change the world.
Baby if I could change the world.
I could change the world,
I would be the sunlight in your universe.
You would think my love was really something good,
Baby if I could change the world.
Baby if I could change the world.
Baby if I could change the world.",43,70
"103","2003-04-05",21948,"Headstrong","Trapt",2003,"Circling your, circling your, circling your head
Contemplating everything you ever said
Now I see the truth I got a doubt 
A different motive in your eyes and now I'm out
See you later

I see your fantasy, you want to make it a reality paved in gold
See inside, inside of our heads, yeah
Well now that's over
I see your motives inside, decisions to hide

***Chorus***
Back off we'll take you on
Headstrong to take on anyone
I know that you are wrong
Headstrong we're Headstrong
Back off I'll take you on
Headstrong to take on anyone
I know that you are wrong
And this is not where you belong
***Chorus***

I can't give everything away 
I won't give everything away

Conclusions manifest
Your first impressions got to be your very best
I see you're full of s*** and that's alright
That's how you play I guess you get through every night
Well now that's over

I see your fantasy, you want to make it a reality paved in gold
See inside, inside of our heads, yeah
Well now that's over
I see your motives inside, decisions to hide

( repeat ***Chorus*** )

I can't give everything away
This is not where you belong
I won't give everything away

I know, I know all about
I know, I know all about
I know, I know all about
I know, I know all about your motives inside and your decision to hide

( repeat ***Chorus*** )

This is not where you belong
I can't give everything away
This is not where you belong
I won't give everything away
This is not where you belong",43,88
"104","2004-02-14",22212,"This Love","Maroon5",2004,"I was so high I did not recognize
The fire burning in her eyes
The chaos that controlled my mind
Whispered goodbye as she got on a plane
Never to return again 
But always in my heart

Oh, this love has taken its toll on me
She said goodbye too many times before
And her heart is breakin' in front of me
And I have no choice, 'cause I won't say goodbye anymore
Whoa, whoa, whoa

I tried my best to feed her appetite
Keep her coming every night
So hard to keep her satisfied
Oh, kept playing love like it was just a game
Pretending to feel the same
Then turn around and leave again

But uh-oh, this love has taken its toll on me
She said goodbye too many times before
And her heart is breakin' in front of me
And I have no choice, 'cause I won't say goodbye anymore
Whoa, whoa, whoa

I'll fix these broken things
Repair your broken wings
And make sure everything's all right (It's all right, it's all right)
My pressure on your hips
I'm sinking my fingertips
Into every inch of you
'Cause I know that's what you want me to do

This love has taken its toll on me
She said goodbye too many times before
Her heart is breakin' in front of me
And I have no choice, 'cause I won't say goodbye anymore

This love has taken its toll on me
She said goodbye too many times before
And my heart is breakin' in front of me
She said goodbye too many times before

This love has taken its toll on me
She said goodbye too many times before 
Her heart is breakin' in front of me
But I have no choice, 'cause I won't say goodbye anymore...",43,109
"105","2005-04-16",22589,"Beverly Hills","Weezer",2005,"Where I come from isn't all that great
My automobile is a piece of crap
My fashion sense is a little whack
And my friends are just as screwy as me

I didn't go to boarding schools
Preppy girls never looked at me
Why should they?
I ain't nobody, got nothing in my pocket

Beverly Hills
That's where I want to be
Livin' in Beverly Hills
Beverly Hills
Rollin' like a celebrity
Livin' in Beverly Hills

Look at all those movie stars
They're all so beautiful and clean
When the housemaids scrub the floors
They get the spaces in between

I wanna live a life like that
I wanna be just like a king
Take my picture by the pool
'cause I'm the next big thing

Beverly Hills
That's where I want to be
Livin' in Beverly Hills
Beverly Hills
Rollin' like a celebrity
Livin' in Beverly Hills

The truth is I don't stand a chance
It's something that you're born into
And I just don't belong

No I don't
I'm just a no-class beat down fool
And I will always be that way
I might as well enjoy my life
And watch the stars play

Beverly Hills
That's where I want to be
Livin' in Beverly Hills
Beverly Hills
Rollin' like a celebrity
Livin' in Beverly Hills

Beverly Hills

Livin' in Beverly Hills",43,106
"106","2005-04-16",22592,"We Belong Together","Mariah Carey",2005,"I didn't mean it when I said
I didn't love you so
I should have held on tight
I never should have let you go
I didn't know nothing,
I was stupid, I was foolish
I was lying to myself
I couldn't have fathomed 
I would ever be without your love
Never imagined I'd be sitting
Here beside myself
Guess I didn't know you 
You'd guess I didn't know me
But I thought I knew everything
I never felt

The feeling that I'm feeling 
Now that I don't hear your voice
Or have your touch and kiss your lips
Cause I don't have a choice
Oh what I wouldn't give 
To have you lying by my side
Right here cause baby

When you left I lost a part of me
It's still so hard to believe
Come back baby please cause
We belong together
Who else am I gonna lean on when times get rough
Who's gonna talk to me on the phone
Till the sun comes up
Who's gonna take your place 
There ain't nobody better
Oh baby baby 
We belong together

I can't sleep at night
When you are on my mind
Bobby Womack's on the radio
Singing to me ""If You Think You're Lonely Now""
Wait a minute this is too deep
I gotta change the station 
So I turn the dial tryin' to catch a break
And then I hear Babyface
""I Only Think Of You"" and it's breakin' my heart
I'm tryin' to keep it together but I'm falling apart

I'm feeling all out of my element
Throwing things, crying tryin'
To figure out where the hell I went wrong
The pain reflected in this song 
Ain't even half of what I'm feeling inside
I need you, need you back in my life baby

When you left I lost a part of me
It's still so hard to believe
Come back baby please cause
We belong together
Who else am I gonna lean on when times get rough
Who's gonna talk to me on the phone
Till the sun comes up
Who's gonna take your place 
There ain't nobody better
Oh baby baby 
We belong together baby

When you left I lost a part of me
It's still so hard to believe
Come back baby please cause
We belong together
Who am I gonna lean on 
When times get rough
Who's gonna talk to me 
Till the sun comes up
Who's gonna take your place 
There ain't nobody better
Oh baby baby
We belong together",43,161
"107","2006-08-05",23051,"Face Down","The Red Jumpsuit Apparatus",2006,"Hey girl, you know you drive me crazy 
one look puts the rhythm in my hand. 
Still I'll never understand why you hang around 
I see what's going down. 

Cover up with make up in the mirror 
tell yourself it's never gonna happen again 
you cry alone and then he swears he loves you. 

Do you feel like a man 
when you push her around? 
Do you feel better now
as she falls to the ground? 
Well I'll tell you my friend,
one day this world's going to end 
as your lies crumble down,
a new life she has found. 

A pebble in the water makes a ripple effect 
Every action in this world will bear a consequence 
If you wade around forever, you will surely drown 
I see what's going down

I see the way you go
and say your right again, 
say your right again 
heed my lecture 

Do you feel like a man 
when you push her around? 
Do you feel better now
as she falls to the ground? 
Well I'll tell you my friend,
one day this world's going to end 
as your lies crumble down
a new life she has..

One day she will tell you
that she has had enough 
(it's coming round again) [2x]

Do you feel like a man, when you push her around? 
Do you feel better now as she falls to the ground? 
Well I'll tell you my friend,
one day this world's going to end 
as your lies crumble down,
a new life she has.. [x2]

Face down in the dirt 
she says, ""this doesn't hurt""
she says, ""I finally had enough"".. [2x]",43,109
"108","2009-12-19",24405,"Breakeven","The Script",2009,"I'm still alive but I'm barely breathing
Just prayed to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks no it don't break even

Her best days will be some of my worst
She finally met a man that's gonna put her first
While I'm wide awake she's no trouble sleeping 
'Cause when a heart breaks 
No it don't break even, even no

What am I supposed to do 
When the best part of me was always you
What am I suppose to say 
When I'm all choked up and you're Ok
I'm falling to pieces, yeah...
I'm falling to pieces

They say bad things happen for a reason
But no wise words gonna stop me bleeding
'Cause she moved on while I'm still grieving
And when a heart breaks no it don't break even, even no

What am I gonna do 
When the best part of me was always you
What am I supposed to say 
When I'm all choked up and you're ok
		
I'm falling to pieces, yeah...
I'm falling to pieces
I'm falling to pieces
(One still in love while the other one's leaving)
I'm falling to pieces
('Cause when a heart breaks no it don't break even)

You got his heart and my heart and none of the pain
You took your suitcase, I took the blame
Now I'm tryna make sense of what little remains
'Cause you left with no love, 
With no love to  my name

I'm still alive but I'm barely breathing
Just prayed to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks no it don't break 
No it don't break, no it don't break even, no

What am I gonna do 
When the best part of me was always you
What am I suppose to say 
When I'm all choked up and you're Ok

I'm falling to pieces, yeah...
I'm falling to pieces

I'm falling to pieces
(One still in love while the other one's leaving)

I'm falling to pieces
('Cause  when a heart breaks no it don't break even)

Oh, it don't break even, no
Oh, it don't break even, no
Oh, it don't break even, no",43,107
"109","2011-03-12",24970,"Set Fire To The Rain","Adele",2011,"I let it fall, my heart,
And as it fell, you rose to claim it,
It was dark and I was over,
Until you kissed my lips and you saved me,
My hands, they're strong, but my knees were far too weak,
To stand in your arms without falling to your feet,

But there's a side to you that I never knew, never knew,
All the things you'd say, they were never true, never true,
And the games you'd play, you would always win, always win,

But I set fire to the rain,
Watched it pour as I touched your face,
Well, it burned while I cried,
'Cause I heard it screaming out your name, your name,

When I lay with you I could stay there,
Close my eyes,
Feel you here forever,
You and me together, nothing is better,

'Cause there's a side to you that I never knew, never knew,
All the things you'd say, they were never true, never true,
And the games you'd play, you would always win, always win,

But I set fire to the rain,
Watched it pour as I touched your face,
Well, it burned while I cried,
'Cause I heard it screaming out your name, your name
I set fire to the rain,
And I threw us into the flames,
Well, It felt something died,
'Cause I knew that that was the last time, the last time,

Sometimes I wake up by the door,
That heart you caught, must be waiting for you,
Even now when we're already over,
I can't help myself from looking for ya,

I set fire to the rain,
Watched it pour as I touch your face,
Well, it burned while I cried,
'Cause I heard it screaming out your name, your name
I set fire to the rain,
And I threw us into the flames,
Well, I felt something died,
'Cause I knew that that was the last time, the last time, oh,
Oh, no,
Let it burn, oh,
Let it burn,
Let it burn.",43,118
"110","2013-05-18",25866,"Safe And Sound","Capital Cities",2013,"I could lift you up
I could show you what you want to see
And take you where you want to be
You could be my luck
Even if the sky is falling down
I know that we'll be safe and sound
We're safe and sound
I could fill your cup
You know my river won't evaporate
This world we still appreciate
You could be my luck
Even in a hurricane of frowns
I know that we'll be safe and sound
(Safe and sound)
We're safe and sound
(Safe and sound)
We're safe and sound
(Hold your ground)
We're safe and sound
(Safe and sound)
I could show you love
In a tidal wave of mystery
You'll still be standing next to me
You could be my luck
Even if we're six feet underground
I know that we'll be safe and sound
We're safe and sound
Safe and sound
Safe and sound
Hold your ground
Safe and sound
I could lift you up
I could show you what you want to see
And take you where you want to be
You could be my luck
Even if the sky is falling down
I know that we'll be safe and sound
I could lift you up
I could show you what you want to see
And take you where you want to be
You could be my luck
Even if the sky is falling down
I know that we'll be safe and sound
We're safe and sound
We're safe and sound
We're safe and sound
We're safe and sound
(Safe and sound)
We're safe and sound
(Safe and sound)
We're safe and sound
(Hold your ground)
We're safe and sound
(Safe and sound)
We're safe and sound",43,58
"111","2013-08-17",25970,"Let Her Go","Passenger",2013,"Well you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

And you let her go

Staring at the bottom of your glass
Hoping one day, you'll make a dream last
But dreams come slow and they go so fast

You see her when you close your eyes
Maybe one day you'll understand why
Everything you touch surely dies

But you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

Staring at the ceiling in the dark
Same old empty feeling in your heart
'Cause love comes slow and it goes so fast

Well you see her when you fall asleep
But never to touch and never to keep
'Cause you loved her too much and you dived too deep

Well you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

And you let her go
And you let her go
Well you let her go

'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go

Only know you've been high when you're feeling low
Only hate the road when you're missin' home
Only know you love her when you let her go

And you let her go",43,81
"112","2015-01-10",26523,"Earned It (Fifty Shades Of Grey)","The Weeknd",2015,"I'mma care for you
I'mma care for you

You make it look like it's magic
Cause I see nobody, nobody
But you
I'm never confused
I'm so used to being used

So I love when you call unexpected
Cause I hate when the moments expected
So I'mma care for you
I'mma care for you, you, you

Cause girl you're perfect
You're always worth it
And you deserve it
The way you work it
'Cause girl you earned it
Girl you earned it

You know our love would be tragic
So you don't pay it, don't pay it
No mind
We live with no lies
You're my favorite kind of night

So I love when you call unexpected
Cause I hate when the moments expected
So I am care for you
Ima care for you, you, you

Cause girl you're perfect
You're always worth it
And you deserve it
The way you work it
Cause girl you earned it
Girl you earned it

On that lonely night
We said It wouldn't be love
But we felt the rush
It made us believe
It was only us
Convinced we were
Broken inside, Inside

Cause girl you're perfect
You're always worth it
And you deserve it
The way you work it
Cause girl you earned it
Girl you earned it",43,76
"113","1994-05-28",18933,"Wild Night","John Mellencamp With Me Shell Ndegeocello",1994,"As you brush your shoes and stand before your mirror
And you comb your hair and grab your coat and hat
And you walk the streets trying to remember, yeah
All those wild nights breeze through your mind

And everything looks so complete
When you're walking out on the streets
And the wind catches your feet
And sends you flying, crying
Oooh, oo-ooh wee
The wild night is calling

All the girls walk by dressed up for each other
And the boys do the boogie woogie on the corner of the street
And the people passing by just stare with the wild wonder
And the inside jukebox roars just like thunder

And everything looks so complete
When you're walking out on the street
And the wind catches your feet
And sends you flying, crying
Oooh, oo-ooh wee
The wild night is calling

The wi---ld night is calling
(The wi---ld night is calling)
Come on out and dance
(Come on out and dance)
Come on out and make romance
Come on out and dance
(Come on out and dance)
Come on out and make romance

And everything looks so complete
When you're walking out on the street
And the wind catches your feet
And sends you flying, crying
Oooh, oo-ooh wee
The wild night is calling
Oooh, oo-ooh wee
The wild night is calling",42,78
"114","1996-03-16",19538,"C'mon N' Ride It (The Train)","Quad City DJ's",1996,"Woo woo...

1-Come on, ride the train, hey, ride it, woo woo
Come on, ride the train, hey, ride it, woo woo
Come on, ride the train, woo woo, hey
Ride it, woo woo
Come on, ride the train
Woo woo, hey, ride it, woo woo
Come on, ride the train
It's the choo choo, ride it, woo woo
Come on, ride the train, it's the choo choo train
Come on, ride the train, it's the choo choo
Ride it, woo woo
Come on, ride the train, it's the choo choo train

2-Ah, ah, ah, ah, ah
I think I can, I think I can
I think I can, I think I can

Way deep down south, well we play this game
It's them Quad City D.J.'s and you,
We call it ""the train""
So if you wanna ride your thing
Just come on down the train
We gonna rock, ooh, Lord, just jump aboard, baby
So get your next of kin, your sister and your friend
Pack it up now, choo choo, ride on this, choo choo
And, boo, you need to stop faking, and come on with me
I wanna take you home with me, to be alone with me
And I can see you wanna hide it, come on, just divide it
And please don't knock it, until you ride it
So to all of you girls, you know, I'm calling your name
Michelle, Tamika and Tanya
Wanna ride this train, ride out now
(repeat 1)

3-If you feel like dancing, well come on, it's up to you
We got the sound to keep you getting down, down
The train is coming through
(repeat 2, 2)

I can smell them tranquil breezes from a mile away
Graduated from Boone up to Alize
Baby, you looking tough to death
Got your weave done right, it's on so tight
Now it's on tonight, yeah, yeah
Right about now it's about that time for me to holler
Girl, I wanna waller in the back of my Impala
Woo, don't need no tickets for this thing
Just jump on in, let me hit them switches on the train
And it ain't no thing, it's all the same
Get on the train tracks
Here we go, so get on the floor
And put a hump in your back
So pack your bags, come on, get ready, say what?
We're coming through your town
Move your arm up and down
And make that choo choo sound, like this

Ride that choo choo, woo woo...

Come on it's the choo choo, woo woo
Come on it's the choo choo train
(rpt 3, 2, 2)",42,150
"115","1999-05-01",20696,"Where My Girls At?","702",1999,"See he's my property
And any girl that touch
I might just call your bluff
'Cause I don't give a fuck
Who are you to call my cell
Oh I'ma wish you well
'Cause any girl that tried has fell

Where my girls at
From the front to back
Well is you feelin' that
Put one hand up
Can you repeat that
Tryin' to take my man
See I don't need that
So don't play yourself

Where my girls at
From the front to back
Well is you feelin' that
Put one hand up
Can you repeat that
Tryin' to take my man
See I don't need that

Hey, hey, hey, hey
Don't you violate me
'Cause I'ma make ya hate me
If you decide to mess with mine
Shrunk you down to size
Make ya realize
You done messed up this time

You must learn the rules
Don't come close to
Anything that belongs to me
He is my
My property
So you must leave",42,82
"116","2002-11-09",21826,"Ignition","R. Kelly",2002,"You remind me of something
I just can't think of what it is

Girl please let me stick my key in your ignition babe
So I can get this thing started and get rollin' babe
See I'll be doin' about 80 on the freeway
Girl I won't stop until I drive you crazy

So buckle up cause this can get bumpy babe
Now hit the lights and check out all my functions babe
Girl back that thang up so I can wax it babe
Honey we gon mess around and get a ticket babe

'Cause we off up in this Jeep
We foggin' up the windows
We got the radio up
We all up in the back
We got the shhh bouncin'
We goin' up and down
And we smokin' and we' drinkin'
Just us thuggin' it out

Jump up and down once I hit them switches babe
And I'm about to take it where you wanna go babe
Guarantee you I'm about to get some knowledge babe
And there'll be no runnin' out of gas babe

It's like ""woo-woo-woo"" pull over babe
And let me put this love van up in your trunk babe
So buckle up cause this can get bumpy babe
Girl we gon mess around and get a ticket babe

'Cause we off up in this Jeep
We foggin' up the windows
We got the radio up
We all up in the back
We got the shhh bouncin'
We goin' up and down
And we smokin' and we' drinkin'
Just us thuggin' it out

Now hold on tight 'cause I'm about to go faster babe
Girl you're dealin' with a pro behind this wheel babe
So tell me have you ever driven a stick babe
You'll be screamin' every time, we shiftin' gears babe

So brace yourself while I'm them corners babe
And when it's over put light tails on your license plates
Now buckle up cause this can get bumpy babe
Girl we gon mess around and get a ticket babe

'Cause we off up in this Jeep
We foggin' up the windows
We got the radio up
We all up in the back
We got the shhh bouncin'
We goin' up and down
And we smokin' and we' drinkin'
Just us thuggin' it out

When I hear you say
""Green light"" I'ma go
""Yellow light"" Do it slow
""Red light"" I'ma stop
When I hear you say
""Switch lanes"" Hit the signal
""Rest stop"" Take a break
Hit the hazards when we park

When you say
""Green light"" I'ma go
""Yellow light"" Do it slow
""Red light"" I'ma stop
When you say
""Switch lanes"" Hit my signal
""Rest stop"" Take a break
Because we're about to go real far

'Cause we off up in this Jeep
We foggin' up the windows
We got the radio up
We all up in the back
We got the shhh bouncin'
We goin' up and down
And we smokin' and we' drinkin'
Just us thuggin' it out

Now lemme see you
Bounce bounce bounce bounce
Bounce bounce bounce bounce
Bounce bounce bounce bounce
Now lemme see you
Bounce bounce bounce bounce
Bounce bounce bounce bounce
Bounce bounce bounce bounce

Now lemme see you",42,155
"117","2004-01-31",22199,"Yeah!","Usher Featuring Lil Jon & Ludacris",2004,"
Peace up!
A town down!


Yeah, yeah, okay! Usher.
Lil John!


Yeah, yeah yeah, yeah yeah, yeah
Yeah, yeah yeah, yeah yeah, yeah.


Let's go.


I'm in the club with my homies
Tryin' to get a little V-I
Keep it down on the low key
'Cause you know how it feels

I said shawty she was checkin' up on me
From the game she was spittin' my ear
You would think that she knew me
So we decided to chill

Conversation got heavy
She had me feelin' like she's ready to blow


Watch out! 
Watch out!


She was sayin' ""Come get me""
So I got up and followed her to the flooor
She said ""Baby let's go""
When I told her I said.

Yeah yeah, shawty got down and said come and get me
Yeah yeah, I got so caught up I forgot she told me
Yeah yeah, her and my girl used be the best of homies
Yeah yeah, next thing I knew she was all up on me screaming
Yeah, yeah yeah, yeah yeah, yeah
Yeah, yeah yeah, yeah yeah, yeah

She's all up in my head now
Got me thinking that it might be a good idea
To take her with me, (with me)
'Cause she's ready to leave (ready to leave now)

Now I gotta keep it real now
'Cause on a 1-to-10
She's a certified 20
But that just ain't me, hey

'Cause I don't know if I take that chance
Just where is it gonna lead
But what I do know is the way she dance
Makes shorty all right with me

The way she getting low!
I'm like yeah, just work that out for me
She asked for one more dance and I'm like yeah
How the hell am I supposed to leave?
And I said

Yeah yeah, shawty got down and said come and get me
Yeah yeah, I got so caught up I forgot she told me
Yeah yeah, her and my girl used be the best of homies
Yeah yeah, next thing I knew she was all up on me screaming
Yeah, yeah yeah, yeah yeah, yeaah
Yeah, yeah yeah, yeah yeah, yeaah


Watch out! My outfit's ridiculous
In the club lookin' so conspicuous
And Rowl!  These women all on the prowl
If you hold the head steady, I'm a milk the cow

Forget about the game, I'm a spit the truth
I won't stop till I get 'em in they birthday suits
So gimme the rhythm and it'll be off with they clothes
Then bend over to the front and touch your toes

I left the Jag and I took the Rolls
If they ain't cutting then I put 'em on foot patrol
How you like me now
When my pinky's valued over three hundred thousand

Let's drink, you the one to please
Ludacris feel cups like double D's
Me and Ursh once more and we leaves 'em dead
We want a lady in the street but a freak in the bed to say


Yeah yeah, shawty got down and said come and get me
Yeah yeah, I got so caught up I forgot she told me
Yeah yeah, her and my girl used be the best of homies
Yeah yeah, next thing I knew she was all up on me screaming
Yeah, yeah yeah, yeah yeah, yeaah
Yeah, yeah yeah, yeah yeah, yeaah


Take that and rewind it back
Lil Jon got the beat to make ya booty go
Take that and rewind it back
Usher got the voice to make ya booty go
Take that and rewind it back
Ludacris got the flow to make ya booty go
Take that and rewind it back
Lil Jon got the beat to make ya booty go",42,200
